store_id,nearest_station_id,distance
0,00002212,170
1,00000665,123
2,00008223,452
3,00002025,121
4,00009222,193
5,00005947,399
6,00006907,93
7,00002212,175
8,00005504,222
9,00002025,152
10,00009217,79
11,00006495,288
12,00002025,271
13,00002025,210
14,00008990,224
15,00001824,130
16,00003544,265
17,00004492,46
18,00006668,161
19,00005767,99
20,00004212,220
21,00006194,263
22,00004927,230
23,00001740,187
24,00003494,169
25,00003544,364
26,00007548,291
27,00004256,225
28,00003494,228
29,00007018,310
30,00006547,285
31,00007018,237
32,00005901,232
33,00007018,216
34,00006133,152
35,00006468,87
36,00005614,199
37,00009222,449
38,00004212,410
39,00006133,71
40,00004464,141
41,00004302,339
42,00001909,49
43,00007825,330
44,00004813,288
45,00004212,302
46,00007290,295
47,00004254,322
48,00007297,205
49,00004473,487
50,00002025,154
51,00001740,168
52,00004212,407
53,00007018,198
54,00003544,427
55,00007297,327
56,00002025,250
57,00006676,367
58,00001740,181
59,00005419,132
60,00004212,202
61,00004212,136
62,00003053,263
63,00009783,164
64,00006133,54
65,00002964,315
66,00009444,39
67,00004212,247
68,00004256,273
69,00005077,175
70,00003544,453
71,00004254,347
72,00008837,190
73,00009221,270
74,00004212,239
75,00007825,278
76,00002025,167
77,00004927,224
78,00004212,307
79,00004254,184
80,00004927,226
81,00004473,197
82,00002025,235
83,00004212,209
84,00004212,222
85,00005901,413
86,00004212,315
87,00004927,354
88,00007825,362
89,00004212,287
90,00009217,62
91,00003494,64
92,00004212,222
93,00001909,329
94,00004212,128
95,00002025,528
96,00009098,189
97,00004212,335
98,00001740,174
99,00001303,324
100,00005614,203
101,00005079,242
102,00004212,193
103,00005077,169
104,00007843,210
105,00008992,107
106,00007297,200
107,00004927,178
108,00004212,386
109,00007825,330
110,00006194,428
111,00005947,507
112,00005077,195
113,00001908,168
114,00007825,502
115,00004212,250
116,00007018,155
117,00001740,167
118,00003544,427
119,00001277,131
120,00004572,372
121,00003053,197
122,00002025,166
123,00006468,271
124,00003544,604
125,00005767,91
126,00004572,214
127,00004464,50
128,00004212,262
129,00007820,363
130,00005947,389
131,00002025,160
132,00007290,205
133,00007825,465
134,00008992,316
135,00002025,613
136,00001909,263
137,00001909,27
138,00005767,84
139,00003544,157
140,00009210,344
141,00004254,346
142,00007297,172
143,00002244,332
144,00004450,514
145,00001908,246
146,00001909,193
147,00007825,502
148,00004256,215
149,00004212,258
150,00006139,150
151,00003202,263
152,00005947,436
153,00007330,535
154,00004254,325
155,00004464,64
156,00004212,191
157,00003176,198
158,00009210,317
159,00007018,267
160,00009002,163
161,00005947,395
162,00005070,322
163,00004302,279
164,00002212,318
165,00001277,159
166,00002403,348
167,00004212,308
168,00004254,303
169,00004464,64
170,00001740,181
171,00006676,120
172,00002244,209
173,00004212,252
174,00005506,287
175,00004212,268
176,00007297,154
177,00009225,252
178,00001909,187
179,00007290,279
180,00004464,192
181,00007626,126
182,00004256,129
183,00007290,288
184,00004302,301
185,00004492,212
186,00004212,231
187,00003710,212
188,00002616,128
189,00009098,313
190,00004254,337
191,00004927,228
192,00003544,367
193,00003494,213
194,00009444,134
195,00007508,291
196,00003544,290
197,00001725,32
198,00007825,215
199,00008837,125
200,00006784,406
201,00005630,474
202,00009215,66
203,00001908,273
204,00004256,228
205,00004302,87
206,00007825,338
207,00004254,146
208,00007626,421
209,00001824,155
210,00004464,61
211,00000665,249
212,00001303,395
213,00008990,138
214,00001740,174
215,00001740,127
216,00004927,224
217,00005504,308
218,00005939,97
219,00004212,326
220,00002025,162
221,00003544,202
222,00007548,161
223,00007843,169
224,00007297,102
225,00009098,167
226,00007297,177
227,00005630,371
228,00005972,248
229,00004464,81
230,00004256,225
231,00008178,185
232,00005901,220
233,00001909,90
234,00004212,221
235,00003053,142
236,00007297,239
237,00003544,357
238,00007290,84
239,00004464,61
240,00005767,277
241,00004254,268
242,00004212,273
243,00004457,278
244,00005947,276
245,00009225,211
246,00001740,75
247,00003053,200
248,00006547,330
249,00002212,254
250,00003004,316
251,00001908,128
252,00003494,173
253,00008990,259
254,00009098,329
255,00004256,265
256,00004927,193
257,00005517,255
258,00009318,270
259,00004927,183
260,00005947,384
261,00005077,219
262,00001303,300
263,00007018,407
264,00005947,438
265,00002025,143
266,00002424,94
267,00004212,128
268,00007825,364
269,00005947,420
270,00007297,195
271,00004212,65
272,00007626,423
273,00003330,235
274,00004254,190
275,00003544,250
276,00000665,161
277,00009217,60
278,00005077,169
279,00001443,380
280,00009098,276
281,00004254,281
282,00003053,185
283,00004212,312
284,00008992,423
285,00007626,321
286,00001908,128
287,00006133,75
288,00004464,217
289,00008702,151
290,00003494,217
291,00007018,299
292,00004813,304
293,00004212,187
294,00005070,295
295,00001908,329
296,00006133,125
297,00005630,308
298,00005947,263
299,00004450,179
300,00002300,60
301,00002212,318
302,00002292,361
303,00001740,38
304,00004212,387
305,00002212,339
306,00003544,269
307,00007018,397
308,00002025,121
309,00005767,144
310,00004985,134
311,00004254,208
312,00009783,152
313,00009210,348
314,00004927,173
315,00003544,364
316,00008684,758
317,00007820,186
318,00004256,107
319,00005077,103
320,00005947,374
321,00006194,543
322,00005069,229
323,00004927,236
324,00007290,176
325,00006137,296
326,00005077,255
327,00004464,116
328,00004254,340
329,00009217,133
330,00004254,346
331,00003544,364
332,00006668,196
333,00004256,230
334,00002025,61
335,00004212,187
336,00006676,244
337,00005947,179
338,00003544,403
339,00005077,168
340,00005506,185
341,00004927,169
342,00004212,248
343,00007825,179
344,00004464,47
345,00006495,421
346,00004212,137
347,00004212,301
348,00004572,179
349,00006676,78
350,00002025,529
351,00009210,276
352,00004256,309
353,00006149,301
354,00004256,122
355,00004254,147
356,00006668,191
357,00005641,192
358,00005963,341
359,00007018,361
360,00002244,105
361,00008223,172
362,00008702,34
363,00005947,372
364,00003494,164
365,00004927,148
366,00001908,347
367,00009215,62
368,00004212,362
369,00007111,447
370,00004302,263
371,00004302,170
372,00005077,206
373,00005077,114
374,00004256,287
375,00004302,264
376,00004212,252
377,00007330,177
378,00001303,346
379,00004464,223
380,00004212,300
381,00004302,215
382,00009098,422
383,00004302,80
384,00007297,340
385,00005947,407
386,00003544,382
387,00004464,133
388,00004302,276
389,00004450,182
390,00009222,196
391,00004256,156
392,00009098,743
393,00007330,628
394,00004256,200
395,00004212,203
396,00000645,63
397,00004457,136
398,00007843,246
399,00009210,320
400,00003330,186
401,00003544,310
